Copa do Mundo FIFA de 2014,Copa do Mundo FIFA de 2014,Unnamed: 2_level_0
Copa do Mundo da FIFA Brasil 2014 (em português) 2014 FIFA World Cup Brasil 2014,Copa do Mundo da FIFA Brasil 2014 (em português) 2014 FIFA World Cup Brasil 2014.1,Unnamed: 2_level_1
Juntos num só ritmo[1],Juntos num só ritmo[1],
Dados,Dados,
Participantes,32,
Organização,FIFA,
Anfitrião,Brasil,
Período,12 de junho – 13 de julho,
Gol(o)s,171,
Partidas,64,
Média,"2,67 gol(o)s por partida",
Campeão,Alemanha (4º título),
Vice-campeão,Argentina,
3.º colocado,Países Baixos,
4.º colocado,Brasil,
Melhor marcador,James Rodríguez – 6 gols,
Melhor ataque (fase inicial),Países Baixos – 10 gols,
Melhor defesa (fase inicial),1 gol: Bélgica Costa Rica México,
Maior goleada (diferença),"Brasil 1–7 Alemanha Estádio Mineirão, Belo Horizonte 8 de julho, Semifinais",
Público,3 429 873,
Média,"53 591,8 pessoas por partida",
Premiações,Premiações,
Melhor jogador (FIFA),Lionel Messi,
Melhor goleiro,Manuel Neuer,
Melhor jogador jovem,Paul Pogba,
Fair play,Colômbia,
◄◄ 2010 2018 ►►,◄◄ 2010 2018 ►►,
◄◄ 2010,,2018 ►►
