0,1,2,3,4,5,6,7,8,9,10
Grupo A[editar | editar código-fonte] Ver artigo principal: Copa do Mundo FIFA de 2014 – Grupo A Pos Equipe Pts J V E D GP GC SG Classificado 1  Brasil (H) 7 3 2 1 0 7 2 +5 Fase eliminatória 2  México 7 3 2 1 0 4 1 +3 3  Croácia 3 3 1 0 2 6 6 0 Eliminado 4  Camarões 0 3 0 0 3 1 9 −8 Fonte: FIFA Regras para classificação: Tie-breaking criteria (H) Anfitrião. 12 de junho Brasil 3 – 1 Croácia São Paulo 13 de junho México 1 – 0 Camarões Natal 17 de junho Brasil 0 – 0 México Fortaleza 18 de junho Camarões 0 – 4 Croácia Manaus 23 de junho Camarões 1 – 4 Brasil Brasília Croácia 1 – 3 México Recife Grupo B[editar | editar código-fonte] Ver artigo principal: Copa do Mundo FIFA de 2014 – Grupo B Pos Equipe Pts J V E D GP GC SG Classificado 1  Países Baixos 9 3 3 0 0 10 3 +7 Fase eliminatória 2  Chile 6 3 2 0 1 5 3 +2 3  Espanha 3 3 1 0 2 4 7 −3 Eliminado 4  Austrália 0 3 0 0 3 3 9 −6 Fonte: FIFA Regras para classificação: Tie-breaking criteria 13 de junho Espanha 1 – 5 Países Baixos Salvador Chile 3 – 1 Austrália Cuiabá 18 de junho Austrália 2 – 3 Países Baixos Porto Alegre Espanha 0 – 2 Chile Rio de Janeiro 23 de junho Austrália 0 – 3 Espanha Curitiba Países Baixos 2 – 0 Chile São Paulo Grupo C[editar | editar código-fonte] Ver artigo principal: Copa do Mundo FIFA de 2014 – Grupo C Pos Equipe Pts J V E D GP GC SG Classificado 1  Colômbia 9 3 3 0 0 9 2 +7 Fase eliminatória 2  Grécia 4 3 1 1 1 2 4 −2 3  Costa do Marfim 3 3 1 0 2 4 5 −1 Eliminado 4  Japão 1 3 0 1 2 2 6 −4 Fonte: FIFA Regras para classificação: Tie-breaking criteria 14 de junho Colômbia 3 – 0 Grécia Belo Horizonte Costa do Marfim 2 – 1 Japão Recife 19 de junho Colômbia 2 – 1 Costa do Marfim Brasília Japão 0 – 0 Grécia Natal 24 de junho Japão 1 – 4 Colômbia Cuiabá Grécia 2 – 1 Costa do Marfim Fortaleza Grupo D[editar | editar código-fonte] Ver artigo principal: Copa do Mundo FIFA de 2014 – Grupo D Pos Equipe Pts J V E D GP GC SG Classificado 1  Costa Rica 7 3 2 1 0 4 1 +3 Fase eliminatória 2  Uruguai 6 3 2 0 1 4 4 0 3  Itália 3 3 1 0 2 2 3 −1 Eliminado 4  Inglaterra 1 3 0 1 2 2 4 −2 Fonte: FIFA Regras para classificação: Tie-breaking criteria 14 de junho Uruguai 1 – 3 Costa Rica Fortaleza Inglaterra 1 – 2 Itália Manaus 19 de junho Uruguai 2 – 1 Inglaterra São Paulo 20 de junho Itália 0 – 1 Costa Rica Recife 24 de junho Itália 0 – 1 Uruguai Natal Costa Rica 0 – 0 Inglaterra Belo Horizonte,Grupo E[editar | editar código-fonte] Ver artigo principal: Copa do Mundo FIFA de 2014 – Grupo E Pos Equipe Pts J V E D GP GC SG Classificado 1  França 7 3 2 1 0 8 2 +6 Fase eliminatória 2  Suíça 6 3 2 0 1 7 6 +1 3  Equador 4 3 1 1 1 3 3 0 Eliminado 4  Honduras 0 3 0 0 3 1 8 −7 Fonte: FIFA Regras para classificação: Tie-breaking criteria 15 de junho Suíça 2 – 1 Equador Brasília França 3 – 0 Honduras Porto Alegre 20 de junho Suíça 2 – 5 França Salvador Honduras 1 – 2 Equador Curitiba 25 de junho Honduras 0 – 3 Suíça Manaus Equador 0 – 0 França Rio de Janeiro Grupo F[editar | editar código-fonte] Ver artigo principal: Copa do Mundo FIFA de 2014 – Grupo F Pos Equipe Pts J V E D GP GC SG Classificado 1  Argentina 9 3 3 0 0 6 3 +3 Fase eliminatória 2  Nigéria 4 3 1 1 1 3 3 0 3  Bósnia e Herzegovina 3 3 1 0 2 4 4 0 Eliminado 4  Irã 1 3 0 1 2 1 4 −3 Fonte: FIFA Regras para classificação: Tie-breaking criteria 15 de junho Argentina 2 – 1 Bósnia e Herzegovina Rio de Janeiro 16 de junho Irã 0 – 0 Nigéria Curitiba 21 de junho Argentina 1 – 0 Irã Belo Horizonte Nigéria 1 – 0 Bósnia e Herzegovina Cuiabá 25 de junho Nigéria 2 – 3 Argentina Porto Alegre Bósnia e Herzegovina 3 – 1 Irã Salvador Grupo G[editar | editar código-fonte] Ver artigo principal: Copa do Mundo FIFA de 2014 – Grupo G Pos Equipe Pts J V E D GP GC SG Classificado 1  Alemanha 7 3 2 1 0 7 2 +5 Fase eliminatória 2  Estados Unidos 4 3 1 1 1 4 4 0 3  Portugal 4 3 1 1 1 4 7 −3 Eliminado 4  Gana 1 3 0 1 2 4 6 −2 Fonte: FIFA Regras para classificação: Tie-breaking criteria 16 de junho Alemanha 4 – 0 Portugal Salvador Gana 1 – 2 Estados Unidos Natal 21 de junho Alemanha 2 – 2 Gana Fortaleza 22 de junho Estados Unidos 2 – 2 Portugal Manaus 26 de junho Estados Unidos 0 – 1 Alemanha Recife Portugal 2 – 1 Gana Brasília Grupo H[editar | editar código-fonte] Ver artigo principal: Copa do Mundo FIFA de 2014 – Grupo H Pos Equipe Pts J V E D GP GC SG Classificado 1  Bélgica 9 3 3 0 0 4 1 +3 Fase eliminatória 2  Argélia 4 3 1 1 1 6 5 +1 3  Rússia 2 3 0 2 1 2 3 −1 Eliminado 4  Coreia do Sul 1 3 0 1 2 3 6 −3 Fonte: FIFA Regras para classificação: Tie-breaking criteria 17 de junho Bélgica 2 – 1 Argélia Belo Horizonte Rússia 1 – 1 Coreia do Sul Cuiabá 22 de junho Bélgica 1 – 0 Rússia Rio de Janeiro Coreia do Sul 2 – 4 Argélia Porto Alegre 26 de junho Coreia do Sul 0 – 1 Bélgica São Paulo Argélia 1 – 1 Rússia Curitiba,,,,,,,,,
Pos,Equipe,Pts,J,V,E,D,GP,GC,SG,Classificado
1,Brasil (H),7,3,2,1,0,7,2,+5,Fase eliminatória
2,México,7,3,2,1,0,4,1,+3,Fase eliminatória
3,Croácia,3,3,1,0,2,6,6,0,Eliminado
4,Camarões,0,3,0,0,3,1,9,−8,Eliminado
,,,,,,,,,,
12 de junho,,,,,,,,,,
Brasil,3 – 1,Croácia,São Paulo,,,,,,,
13 de junho,,,,,,,,,,
