0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Oitavas de final,Oitavas de final,,,Quartas de final,Quartas de final,,,Semifinais,Semifinais,,,Final,Final
,,,,,,,,,,,,,,
,28 de junho – Belo Horizonte,28 de junho – Belo Horizonte,,,,,,,,,,,,
,28 de junho – Belo Horizonte,28 de junho – Belo Horizonte,,,,,,,,,,,,
,Brasil (pen),1 (3),,,,,,,,,,,,
,Brasil (pen),1 (3),,,4 de julho – Fortaleza,4 de julho – Fortaleza,,,,,,,,
,Chile,1 (2),,,4 de julho – Fortaleza,4 de julho – Fortaleza,,,,,,,,
,Chile,1 (2),,,Brasil,2,,,,,,,,
,28 de junho – Rio de Janeiro,28 de junho – Rio de Janeiro,,,Brasil,2,,,,,,,,
,28 de junho – Rio de Janeiro,28 de junho – Rio de Janeiro,,,Colômbia,1,,,,,,,,
,Colômbia,2,,,Colômbia,1,,,,,,,,
,Colômbia,2,,,,,,,8 de julho – Belo Horizonte,8 de julho – Belo Horizonte,,,,
,Uruguai,0,,,,,,,8 de julho – Belo Horizonte,8 de julho – Belo Horizonte,,,,
,Uruguai,0,,,,,,,Brasil,1,,,,
,30 de junho – Brasília,30 de junho – Brasília,,,,,,,Brasil,1,,,,
,30 de junho – Brasília,30 de junho – Brasília,,,,,,,Alemanha,7,,,,
,França,2,,,,,,,Alemanha,7,,,,
,França,2,,,4 de julho – Rio de Janeiro,4 de julho – Rio de Janeiro,,,,,,,,
,Nigéria,0,,,4 de julho – Rio de Janeiro,4 de julho – Rio de Janeiro,,,,,,,,
,Nigéria,0,,,França,0,,,,,,,,
,30 de junho – Porto Alegre,30 de junho – Porto Alegre,,,França,0,,,,,,,,
,30 de junho – Porto Alegre,30 de junho – Porto Alegre,,,Alemanha,1,,,,,,,,
,Alemanha (pro),2,,,Alemanha,1,,,,,,,,
,Alemanha (pro),2,,,,,,,,,,,13 de julho – Rio de Janeiro,13 de julho – Rio de Janeiro
,Argélia,1,,,,,,,,,,,13 de julho – Rio de Janeiro,13 de julho – Rio de Janeiro
,Argélia,1,,,,,,,,,,,Alemanha (pro),1
,29 de junho – Fortaleza,29 de junho – Fortaleza,,,,,,,,,,,Alemanha (pro),1
,29 de junho – Fortaleza,29 de junho – Fortaleza,,,,,,,,,,,Argentina,0
,Países Baixos,2,,,,,,,,,,,Argentina,0
,Países Baixos,2,,,5 de julho – Salvador,5 de julho – Salvador,,,,,,,,
,México,1,,,5 de julho – Salvador,5 de julho – Salvador,,,,,,,,
,México,1,,,Países Baixos (pen),0 (4),,,,,,,,
,29 de junho – Recife,29 de junho – Recife,,,Países Baixos (pen),0 (4),,,,,,,,
,29 de junho – Recife,29 de junho – Recife,,,Costa Rica,0 (3),,,,,,,,
,Costa Rica (pen),1 (5),,,Costa Rica,0 (3),,,,,,,,
,Costa Rica (pen),1 (5),,,,,,,9 de julho – São Paulo,9 de julho – São Paulo,,,,
,Grécia,1 (3),,,,,,,9 de julho – São Paulo,9 de julho – São Paulo,,,,
,Grécia,1 (3),,,,,,,Países Baixos,0 (2),,,,
,1 de julho – São Paulo,1 de julho – São Paulo,,,,,,,Países Baixos,0 (2),,,,
,1 de julho – São Paulo,1 de julho – São Paulo,,,,,,,Argentina (pen),0 (4),,,Terceiro lugar,Terceiro lugar
,Argentina (pro),1,,,,,,,Argentina (pen),0 (4),,,Terceiro lugar,Terceiro lugar
,Argentina (pro),1,,,5 de julho – Brasília,5 de julho – Brasília,,,,,,,12 de julho – Brasília,12 de julho – Brasília
,Suíça,0,,,5 de julho – Brasília,5 de julho – Brasília,,,,,,,12 de julho – Brasília,12 de julho – Brasília
,Suíça,0,,,Argentina,1,,,,,,,Brasil,0
,1 de julho – Salvador,1 de julho – Salvador,,,Argentina,1,,,,,,,Brasil,0
,1 de julho – Salvador,1 de julho – Salvador,,,Bélgica,0,,,,,,,Países Baixos,3
,Bélgica (pro),2,,,Bélgica,0,,,,,,,Países Baixos,3
,Bélgica (pro),2,,,,,,,,,,,,
,Estados Unidos,1,,,,,,,,,,,,
,Estados Unidos,1,,,,,,,,,,,,
