Confederação,Seleção,Classificada como,Data em que a classificação foi assegurada,Aparições em Copas do Mundo,Aparições consecutivas,Última aparição,Melhor resultado anterior
CONMEBOL (4 vagas + 1 + país-sede),Brasil,País-sede,30 de outubro de 2007,20,20,2010,"Campeão (1958, 1962, 1970, 1994, 2002)"
CONMEBOL (4 vagas + 1 + país-sede),Argentina,Vencedor da fase única,10 de setembro de 2013,16,11,2010,"Campeão (1978, 1986)"
CONMEBOL (4 vagas + 1 + país-sede),Colômbia,2º lugar na fase única,11 de outubro de 2013,5,1,1998,Oitavas-de-final (1990)
CONMEBOL (4 vagas + 1 + país-sede),Chile,3º lugar na fase única,15 de outubro de 2013,9,2,2010,Terceiro lugar (1962)
CONMEBOL (4 vagas + 1 + país-sede),Equador,4º lugar na fase única,15 de outubro de 2013,3,1,2006,Oitavas-de-final (2006)
CONMEBOL (4 vagas + 1 + país-sede),Uruguai,Vencedor da repescagem intercontinental,20 de novembro de 2013,12,2,2010,"Campeão (1930, 1950)"
AFC (4 vagas),Irã,Vencedor do grupo A,18 de junho de 2013,4,1,2006,"Fase de grupos (1978, 1998, 2006)"
AFC (4 vagas),Coreia do Sul,2º colocado do grupo A,18 de junho de 2013,9,8,2010,Quarto lugar (2002)
AFC (4 vagas),Japão,Vencedor do grupo B,4 de junho de 2013,5,5,2010,"Oitavas-de-final (2002, 2010)"
AFC (4 vagas),Austrália,2º colocado do grupo B,18 de junho de 2013,4,3,2010,Oitavas-de-final (2006)
CAF (5 vagas),Costa do Marfim,Vencedor da chave A,16 de novembro de 2013,3,3,2010,"Fase de grupos (2006, 2010)"
CAF (5 vagas),Nigéria,Vencedor da chave B,16 de novembro de 2013,5,2,2010,"Oitavas-de-final (1994, 1998)"
CAF (5 vagas),Camarões,Vencedor da chave C,17 de novembro de 2013,7,2,2010,Quartas-de-final (1990)
CAF (5 vagas),Gana,Vencedor da chave D,19 de novembro de 2013,3,3,2010,Quartas-de-final (2010)
CAF (5 vagas),Argélia,Vencedor da chave E,19 de novembro de 2013,4,2,2010,"Fase de grupos (1982, 1986, 2010)"
CONCACAF (3 vagas + 1),Estados Unidos,Vencedor da quarta fase,10 de setembro de 2013,10,7,2010,Terceiro lugar (1930)
CONCACAF (3 vagas + 1),Costa Rica,2º lugar na quarta fase,10 de setembro de 2013,4,1,2006,Oitavas-de-final (1990)
CONCACAF (3 vagas + 1),Honduras,3º lugar na quarta fase,15 de outubro de 2013,3,2,2010,"Fase de grupos (1982, 2010)"
CONCACAF (3 vagas + 1),México,Vencedor da repescagem intercontinental,20 de novembro de 2013,15,6,2010,"Quartas-de-final (1970, 1986)"
UEFA (13 vagas),Bélgica,Vencedor do grupo A,11 de outubro de 2013,12,1,2002,Quarto lugar (1986)
UEFA (13 vagas),Itália,Vencedor do grupo B,10 de setembro de 2013,18,14,2010,"Campeão (1934, 1938, 1982, 2006)"
UEFA (13 vagas),Alemanha,Vencedor do grupo C,11 de outubro de 2013,18,16,2010,"Campeão (1954, 1974, 1990)"
UEFA (13 vagas),Países Baixos,Vencedor do grupo D,10 de setembro de 2013,10,3,2010,"Vice-campeão (1974, 1978, 2010)"
UEFA (13 vagas),Suíça,Vencedor do grupo E,11 de outubro de 2013,10,3,2010,"Quartas-de-final (1934, 1938, 1974)"
UEFA (13 vagas),Rússia,Vencedor do grupo F,15 de outubro de 2013,10[a],1,2002,Quarto lugar (1966)[a]
UEFA (13 vagas),Bósnia e Herzegovina,Vencedor do grupo G,15 de outubro de 2013,1,1,–,Estreante
UEFA (13 vagas),Inglaterra,Vencedor do grupo H,15 de outubro de 2013,14,5,2010,Campeão (1966)
UEFA (13 vagas),Espanha,Vencedor do grupo I,15 de outubro de 2013,14,10,2010,Campeão (2010)
UEFA (13 vagas),Portugal,Vencedor da repescagem,19 de novembro de 2013,6,4,2010,Terceiro lugar (1966)
UEFA (13 vagas),França,Vencedor da repescagem,19 de novembro de 2013,14,5,2010,Campeão (1998)
UEFA (13 vagas),Grécia,Vencedor da repescagem,19 de novembro de 2013,3,2,2010,"Fase de grupos (1994, 2010)"
UEFA (13 vagas),Croácia,Vencedor da repescagem,19 de novembro de 2013,4,1,2006,Terceiro lugar (1998)
