Pos.,Seleção,Gr,Pts,J,V,E,D,GP,GC,SG
Final,Final,Final,Final,Final,Final,Final,Final,Final,Final,Final
1,Alemanha,G,19,7,6,1,0,18,4,+14
2,Argentina,F,16,7,5,1,1,8,4,+4
Decisão do 3º e 4º lugares,Decisão do 3º e 4º lugares,Decisão do 3º e 4º lugares,Decisão do 3º e 4º lugares,Decisão do 3º e 4º lugares,Decisão do 3º e 4º lugares,Decisão do 3º e 4º lugares,Decisão do 3º e 4º lugares,Decisão do 3º e 4º lugares,Decisão do 3º e 4º lugares,Decisão do 3º e 4º lugares
3,Países Baixos,B,17,7,5,2,0,15,4,+11
4,Brasil,A,11,7,3,2,2,11,14,–3
Eliminados nas quartas de final,Eliminados nas quartas de final,Eliminados nas quartas de final,Eliminados nas quartas de final,Eliminados nas quartas de final,Eliminados nas quartas de final,Eliminados nas quartas de final,Eliminados nas quartas de final,Eliminados nas quartas de final,Eliminados nas quartas de final,Eliminados nas quartas de final
5,Colômbia,C,12,5,4,0,1,12,4,+8
6,Bélgica,H,12,5,4,0,1,6,3,+3
7,França,E,10,5,3,1,1,10,3,+7
8,Costa Rica,D,9,5,2,3,0,5,2,+3
Eliminados nas oitavas de final,Eliminados nas oitavas de final,Eliminados nas oitavas de final,Eliminados nas oitavas de final,Eliminados nas oitavas de final,Eliminados nas oitavas de final,Eliminados nas oitavas de final,Eliminados nas oitavas de final,Eliminados nas oitavas de final,Eliminados nas oitavas de final,Eliminados nas oitavas de final
9,Chile,B,7,4,2,1,1,6,4,+2
10,México,A,7,4,2,1,1,5,3,+2
11,Suíça,E,6,4,2,0,2,7,7,0
12,Uruguai,D,6,4,2,0,2,4,6,–2
13,Grécia,C,5,4,1,2,1,3,5,–2
14,Argélia,H,4,4,1,1,2,7,7,0
15,Estados Unidos,G,4,4,1,1,2,5,6,–1
16,Nigéria,F,4,4,1,1,2,3,5,–2
Eliminados na fase de grupos,Eliminados na fase de grupos,Eliminados na fase de grupos,Eliminados na fase de grupos,Eliminados na fase de grupos,Eliminados na fase de grupos,Eliminados na fase de grupos,Eliminados na fase de grupos,Eliminados na fase de grupos,Eliminados na fase de grupos,Eliminados na fase de grupos
17,Equador,E,4,3,1,1,1,3,3,0
18,Portugal,G,4,3,1,1,1,4,7,–3
19,Croácia,A,3,3,1,0,2,6,6,0
20,Bósnia e Herzegovina,F,3,3,1,0,2,4,4,0
21,Costa do Marfim,C,3,3,1,0,2,4,5,–1
22,Itália,D,3,3,1,0,2,2,3,–1
23,Espanha,B,3,3,1,0,2,4,7,–3
24,Rússia,H,2,3,0,2,1,2,3,–1
25,Gana,G,1,3,0,1,2,4,6,–2
26,Inglaterra,D,1,3,0,1,2,2,4,–2
27,Coreia do Sul,H,1,3,0,1,2,3,6,–3
28,Irã,F,1,3,0,1,2,1,4,–3
29,Japão,C,1,3,0,1,2,2,6,–4
30,Austrália,B,0,3,0,0,3,3,9,–6
31,Honduras,E,0,3,0,0,3,1,8,–7
32,Camarões,A,0,3,0,0,3,1,9,–8
