Nº,Público,Mandante,Placar,Visitante,Estádio,Cidade,Data,Rodada,Ref.
1,74 738,Argentina,2–1,Bósnia e Herzegovina,Estádio do Maracanã,Rio de Janeiro,15 de junho,1ª – Grupo F,[83]
1,74 738,Alemanha,1–0,Argentina,Estádio do Maracanã,Rio de Janeiro,13 de julho,Final,[84]
3,74 240,França,0–1,Alemanha,Estádio do Maracanã,Rio de Janeiro,4 de julho,Quartas de final,[85]
4,74 101,Espanha,0–2,Chile,Estádio do Maracanã,Rio de Janeiro,18 de junho,2ª – Grupo B,[86]
5,73 819,Bélgica,1–0,Rússia,Estádio do Maracanã,Rio de Janeiro,22 de junho,2ª – Grupo H,[87]
6,73 804,Colômbia,2–0,Uruguai,Estádio do Maracanã,Rio de Janeiro,28 de junho,Oitavas de final,[88]
7,73 749,Equador,0–0,França,Estádio do Maracanã,Rio de Janeiro,25 de junho,3ª – Grupo E,[89]
8,69 112,Camarões,1–4,Brasil,Estádio Nacional,Brasília,23 de junho,3ª – Grupo A,[90]
9,68 748,Colômbia,2–1,Costa do Marfim,Estádio Nacional,Brasília,19 de junho,2ª – Grupo C,[91]
10,68 551,Argentina,1–0,Bélgica,Estádio Nacional,Brasília,5 de julho,Quartas de final,[92]
