Confederação,Árbitro,Assistente,Assistente.1,Apoio (árbitro/assistente)
AFC,Ravshan Irmatov,Abdukhamidullo Rasulov,Bahadyr Kochkarov,Alireza Faghani / Hassan Kamranifar
AFC,Yuichi Nishimura,Toru Sagara,Toshiyuki Nagi,Alireza Faghani / Hassan Kamranifar
AFC,Nawaf Shukralla,Yaser Tulefat,Ebrahim Saleh,Alireza Faghani / Hassan Kamranifar
AFC,Benjamin Williams,Matthew Cream,Hakan Anaz,Alireza Faghani / Hassan Kamranifar
CAF,Noumandiez Doué,Songuifolo Yeo,Jean-Claude Birumushahu,Néant Alioum / Djibril Camara  Daniel Bennett / Aden Marwa
CAF,Bakary Gassama,Evarist Menkouande,Félicien Kabanda,Néant Alioum / Djibril Camara  Daniel Bennett / Aden Marwa
CAF,Djamel Haimoudi,Abdelhalk Etchiali,Redouane Achik,Néant Alioum / Djibril Camara  Daniel Bennett / Aden Marwa
CONCACAF,Joel Aguilar,William Torres,Juan Zumba,Roberto Moreno / Eric Boria  Walter López / Leonel Leal
CONCACAF,Mark Geiger,Mark Hurd,Joe Fletcher,Roberto Moreno / Eric Boria  Walter López / Leonel Leal
CONCACAF,Marco Rodríguez,Marvin Torrentera,Marcos Quintero,Roberto Moreno / Eric Boria  Walter López / Leonel Leal
CONMEBOL,Néstor Pitana,Hernán Maidana,Juan Pablo Belatti,Víctor Carrillo / Rodney Aquino
CONMEBOL,Sandro Ricci,Emerson de Carvalho,Marcelo Van Gasse,Víctor Carrillo / Rodney Aquino
CONMEBOL,Enrique Osses,Carlos Astroza,Sergio Román,Víctor Carrillo / Rodney Aquino
CONMEBOL,Wilmar Roldán,Humberto Clavijo,Eduardo Díaz,Víctor Carrillo / Rodney Aquino
CONMEBOL,Carlos Vera,Christian Lescano,Byron Romero,Víctor Carrillo / Rodney Aquino
OFC,Peter O'Leary,Jan-Hendrik Hintz,Mark Rule,Norbert Hauata
UEFA,Felix Brych,Stefan Lupp,Mark Borsch,Svein Oddvar Moen / Kim Haglund
UEFA,Cüneyt Çakır,Bahattin Duran,Tarık Ongun,Svein Oddvar Moen / Kim Haglund
UEFA,Jonas Eriksson,Mathias Clasenius,Daniel Wärnmark,Svein Oddvar Moen / Kim Haglund
UEFA,Björn Kuipers,Sander van Roekel,Erwin Zeinstra,Svein Oddvar Moen / Kim Haglund
UEFA,Milorad Mažić,Milovan Ristić,Dalibor Djurdjević,Svein Oddvar Moen / Kim Haglund
UEFA,Pedro Proença,Bertino Miranda,Tiago Trigo,Svein Oddvar Moen / Kim Haglund
UEFA,Nicola Rizzoli,Renato Faverani,Andrea Stefani,Svein Oddvar Moen / Kim Haglund
UEFA,Carlos Velasco Carballo,Roberto Alonso Fernández,Juan Carlos Yuste Jiménez,Svein Oddvar Moen / Kim Haglund
UEFA,Howard Webb,Mike Mullarkey,Darren Cann,Svein Oddvar Moen / Kim Haglund
